title,artist,url,lyrics,lyrics_clean,language,word_count,sentiment_score,sentiment_label
Hati-Hati di Jalan,Tulus,https://youtu.be/_N6vSc_mT6I?si=BRz3-uuQkJVXOHWj,"Perjalanan membawamu Bertemu denganku 'Ku bertemu kamu Sepertimu yang kucari Konon aku juga Seperti yang kau cari  Kukira kita asam dan garam Dan kita bertemu di belanga Kisah yang ternyata tak seindah itu  Kukira kita akan bersama Begitu banyak yang sama Latarmu dan latarku Kukira takkan ada kendala Kukira ini kan mudah Kau aku jadi kita  Kasih sayangmu membekas Redam kini sudah Pijar istimewa Entah apa maksud dunia Tentang ujung cerita Kita tak bersama  Semoga rindu ini menghilang Konon katanya waktu sembuhkan Akan adakah lagi yang sepertimu?  Kukira kita akan bersama Begitu banyak yang sama Latarmu dan latarku Kukira takkan ada kendala Kukira ini kan mudah Kau aku jadi kita  Kau melanjutkan perjalananmu 'Ku melanjutkan perjalananku Uh-uhh, Uh  Kukira kita akan bersama Begitu banyak yang sama Latarmu dan latarku Kukira takkan ada kendala Kukira ini kan mudah Kau aku jadi kita Kukira kita akan bersama  Hati-hati di jalan",perjalanan membawamu bertemu denganku ku bertemu kamu sepertimu yang kucari konon aku juga seperti yang kau cari kukira kita asam dan garam dan kita bertemu di belanga kisah yang ternyata tak seindah itu kukira kita akan bersama begitu banyak yang sama latarmu dan latarku kukira takkan ada kendala kukira ini kan mudah kau aku jadi kita kasih sayangmu membekas redam kini sudah pijar istimewa entah apa maksud dunia tentang ujung cerita kita tak bersama semoga rindu ini menghilang konon katanya waktu sembuhkan akan adakah lagi yang sepertimu kukira kita akan bersama begitu banyak yang sama latarmu dan latarku kukira takkan ada kendala kukira ini kan mudah kau aku jadi kita kau melanjutkan perjalananmu ku melanjutkan perjalananku uh uhh uh kukira kita akan bersama begitu banyak yang sama latarmu dan latarku kukira takkan ada kendala kukira ini kan mudah kau aku jadi kita kukira kita akan bersama hati hati di jalan,Indonesia,150,0.0,neutral
Cinta Luar Biasa,Andmesh,https://youtu.be/FcOctsNXyjk?si=oINv-rfm1xA_1udo,"Waktu pertama kali kulihat dirimu hadir Rasa hati ini inginkan dirimu Hati tenang mendengar suara indah menyapa Geloranya hati ini tak kusangka  Rasa ini tak tertahan (Rasa...) Hati ini selalu untukmu (Hati...)  Terimalah lagu ini dari orang biasa Tapi cintaku padamu luar biasa Aku tak punya bunga, aku tak punya harta Yang ku punya hanyalah hati yang setia tulus padamu  (Du du du du du du du) Hari hari berganti, kini cinta pun hadir Melihatmu, memandangmu bagai bidadari Lentik indah matamu, manis senyum bibirmu Hitam panjang rambutmu, anggun terikat  Rasa ini tak tertahan (Rasa...) Hati ini selalu untukmu (Hati...) (Terimalah lagu ini)  Terimalah lagu ini dari orang biasa Tapi cintaku padamu luar biasa Aku tak punya bunga, aku tak punya harta Yang ku punya hanyalah hati yang setia tulus padamu  (Resah) Oooh... (Hati) Oooh... Terimalah lagu ini Dari orang biasa  Terimalah lagu ini dari orang biasa Tapi cintaku padamu luar biasa Aku tak punya bunga, aku tak punya harta Yang ku punya hanyalah hati yang setia Yang ku punya hanyalah hati yang setia  Terimalah cintaku yang luar biasa Tulus padamu",waktu pertama kali kulihat dirimu hadir rasa hati ini inginkan dirimu hati tenang mendengar suara indah menyapa geloranya hati ini tak kusangka rasa ini tak tertahan rasa hati ini selalu untukmu hati terimalah lagu ini dari orang biasa tapi cintaku padamu luar biasa aku tak punya bunga aku tak punya harta yang ku punya hanyalah hati yang setia tulus padamu du du du du du du du hari hari berganti kini cinta pun hadir melihatmu memandangmu bagai bidadari lentik indah matamu manis senyum bibirmu hitam panjang rambutmu anggun terikat rasa ini tak tertahan rasa hati ini selalu untukmu hati terimalah lagu ini terimalah lagu ini dari orang biasa tapi cintaku padamu luar biasa aku tak punya bunga aku tak punya harta yang ku punya hanyalah hati yang setia tulus padamu resah oooh hati oooh terimalah lagu ini dari orang biasa terimalah lagu ini dari orang biasa tapi cintaku padamu luar biasa aku tak punya bunga aku tak punya harta yang ku punya hanyalah hati yang setia yang ku punya hanyalah hati yang setia terimalah cintaku yang luar biasa tulus padamu,Indonesia,180,0.0,neutral
Fix You,Coldplay,https://youtu.be/k4V3Mo61fJM?si=bfGC1iL8Z1wDpQJF,"When you try your best, but you don't succeed When you get what you want, but not what you need When you feel so tired, but you can't sleep Stuck in reverse  And the tears come streamin' down your face When you lose somethin' you can't replace When you love someone, but it goes to waste Could it be worse?  Lights will guide you home And ignite your bones And I will try  to fix you  And high up above or down below When you're too in love to let it go But if you never try, you'll never know Just what you're worth  Lights will guide you home And ignite your bones And I will try  to fix you   Tears stream down your face When you lose somethin' you cannot replace Tears stream down your face And I Tears stream down your face I promise you I will learn from my mistakes Tears stream down your face And I  Lights will guide you home And ignite your bones And I will try to fix you",when you try your best but you don t succeed when you get what you want but not what you need when you feel so tired but you can t sleep stuck in reverse and the tears come streamin down your face when you lose somethin you can t replace when you love someone but it goes to waste could it be worse lights will guide you home and ignite your bones and i will try to fix you and high up above or down below when you re too in love to let it go but if you never try you ll never know just what you re worth lights will guide you home and ignite your bones and i will try to fix you tears stream down your face when you lose somethin you cannot replace tears stream down your face and i tears stream down your face i promise you i will learn from my mistakes tears stream down your face and i lights will guide you home and ignite your bones and i will try to fix you,English,182,0.03511111111111111,positive
Someone Like You,Adele,https://youtu.be/hLQl3WQQoQ0?si=WL3LcJxduyuXGWLA,"I heard that you're settled down That you found a girl and you're married now I heard that your dreams came true Guess she gave you things I didn't give to you Old friend, why are you so shy? Ain't like you to hold back or hide from the light  I hate to turn up out of the blue, uninvited But I couldn't stay away, I couldn't fight it I had hoped you'd see my face And that you'd be reminded that for me, it isn't over  Never mind, I'll find someone like you I wish nothing but the best for you, too Don't forget me, I beg I remember you said Sometimes it lasts in love, but sometimes it hurts instead Sometimes it lasts in love, but sometimes it hurts instead  You know how the time flies Only yesterday was the time of our lives We were born and raised in a summer haze Bound by the surprise of our glory days  I hate to turn up out of the blue, uninvited But I couldn't stay away, I couldn't fight it I had hoped you'd see my face And that you'd be reminded that for me, it isn't over  Never mind, I'll find someone like you I wish nothing but the best for you, too Don't forget me, I beg I remember you said Sometimes it lasts in love, but sometimes it hurts instead  Nothing compares, no worries or cares Regrets and mistakes, they're memories made Who would have known how bittersweet this would taste?  Never mind, I'll find someone like you I wish nothing but the best for you Don't forget me, I beg I remember you said Sometimes it lasts in love, but sometimes it hurts instead Never mind, I'll find someone like you I wish nothing but the best for you, too Don't forget me, I beg I remember you said Sometimes it lasts in love, but sometimes it hurts instead Sometimes it lasts in love, but sometimes it hurts instead",i heard that you re settled down that you found a girl and you re married now i heard that your dreams came true guess she gave you things i didn t give to you old friend why are you so shy ain t like you to hold back or hide from the light i hate to turn up out of the blue uninvited but i couldn t stay away i couldn t fight it i had hoped you d see my face and that you d be reminded that for me it isn t over never mind i ll find someone like you i wish nothing but the best for you too don t forget me i beg i remember you said sometimes it lasts in love but sometimes it hurts instead sometimes it lasts in love but sometimes it hurts instead you know how the time flies only yesterday was the time of our lives we were born and raised in a summer haze bound by the surprise of our glory days i hate to turn up out of the blue uninvited but i couldn t stay away i couldn t fight it i had hoped you d see my face and that you d be reminded that for me it isn t over never mind i ll find someone like you i wish nothing but the best for you too don t forget me i beg i remember you said sometimes it lasts in love but sometimes it hurts instead nothing compares no worries or cares regrets and mistakes they re memories made who would have known how bittersweet this would taste never mind i ll find someone like you i wish nothing but the best for you don t forget me i beg i remember you said sometimes it lasts in love but sometimes it hurts instead never mind i ll find someone like you i wish nothing but the best for you too don t forget me i beg i remember you said sometimes it lasts in love but sometimes it hurts instead sometimes it lasts in love but sometimes it hurts instead,English,358,0.24975845410628014,positive
Tak Ingin Usai,Keisya Levronka,https://youtu.be/FB1YNEOspyA?si=dquE1Ry2s58jJKFJ,Berdiri Ku memutar waktu Teringat Kamu yang dulu Ada di sampingku setiap hari Jadi sandaran ternyaman Saat ku lemah saat ku lelah Ho wo wo Tersadar Ku tinggal sendiri Merenungi Semua yang tak mungkin Bisa ku putarkan kembali s'perti dulu Ku bahagia tapi semuanya?hilang?tanpa?sebab Kauhentikan semuanya Ho oh?oh Terluka dan menangis?tapi ku terima Semua keputusan yang telah kau buat Satu yang harus kau tahu Ku menanti kau tuk kembali Jujur ku tak ingin engkau pergi Tinggalkan semua usai di sini Tak tertahan air mata ini Mengingat semua yang t'lah terjadi Ku tahu kau pun sama s'perti aku Tak ingin cinta usai di sini Tapi mungkin inilah jalannya Harus berpisah ho oh ho Terluka dan menangis tapi ku terima Semua keputusan yang telah kau buat Satu yang harus kau tahu Ku menanti kau tuk k?mbali Ho ho wo oh Tinggalkan semua usai di sini Ku tahu kau pun sama s'perti aku Tak ingin cinta usai di sini Tapi mungkin inilah jalannya Harus berpisah ho oh B?rharap suatu saat nanti Kau dan aku kan bertemu lagi S'perti yang kau ucapkan S'belum kau tinggalkan aku,berdiri ku memutar waktu teringat kamu yang dulu ada di sampingku setiap hari jadi sandaran ternyaman saat ku lemah saat ku lelah ho wo wo tersadar ku tinggal sendiri merenungi semua yang tak mungkin bisa ku putarkan kembali s perti dulu ku bahagia tapi semuanya hilang tanpa sebab kauhentikan semuanya ho oh oh terluka dan menangis tapi ku terima semua keputusan yang telah kau buat satu yang harus kau tahu ku menanti kau tuk kembali jujur ku tak ingin engkau pergi tinggalkan semua usai di sini tak tertahan air mata ini mengingat semua yang t lah terjadi ku tahu kau pun sama s perti aku tak ingin cinta usai di sini tapi mungkin inilah jalannya harus berpisah ho oh ho terluka dan menangis tapi ku terima semua keputusan yang telah kau buat satu yang harus kau tahu ku menanti kau tuk k mbali ho ho wo oh tinggalkan semua usai di sini ku tahu kau pun sama s perti aku tak ingin cinta usai di sini tapi mungkin inilah jalannya harus berpisah ho oh b rharap suatu saat nanti kau dan aku kan bertemu lagi s perti yang kau ucapkan s belum kau tinggalkan aku,Indonesia,195,0.0,neutral
Blue Jeans,Gangga,https://youtu.be/UzKdy75GqXQ?si=5AkhikWj75J9YNCP,Calling you late at night Talking bout nothin' But were always laughing These dumb conversations They raise my affections Those?were?the good times And?I miss the old times Have I?told you lately That I miss you badly Sometimes I wish That I?could?still?call you mine Still?call you mine Now?all Ive got is The stain on my blue jeans The only way I could Remember that you were once mine Your voice were lullabies I would be listnin Till I was sleeping But our situations It stopped our relations Why did we end it? Dont want to believe it Cuz Im feelin lately That I miss you badly Sometimes I wish That I could still call you mine Still call you mine Now all Ive got is The stain on my blue jeans The only way I could Remember that you were once mine  Sometimes I wish That I could still call you mine Still call you mine Now all Ive got is The stain on my blue jeans The only way I could Remember that you were once mine,calling you late at night talking bout nothin but we re always laughing these dumb conversations they raise my affections those were the good times and i miss the old times have i told you lately that i miss you badly sometimes i wish that i could still call you mine still call you mine now all i ve got is the stain on my blue jeans the only way i could remember that you were once mine your voice were lullabies i would be list nin till i was sleeping but our situations it stopped our relations why did we end it don t want to believe it cuz i m feelin lately that i miss you badly sometimes i wish that i could still call you mine still call you mine now all i ve got is the stain on my blue jeans the only way i could remember that you were once mine sometimes i wish that i could still call you mine still call you mine now all i ve got is the stain on my blue jeans the only way i could remember that you were once mine,English,193,-0.1339285714285714,negative
Seperti yang Kau Minta,Chrisye,https://youtu.be/Y2VvvtNWpKo?si=H146LwH6qMEhWJB0,Maafkan aku tak bisa Memahami maksud amarahmu Membaca dan mengerti isi hatimu  Ampuni aku yang telah Memasuki kehidupan kalian Mencoba mencari celah dalam hatimu  Aku tau 'ku takkan bisa Menjadi seperti yang engkau minta Namun selama nafas berhembus aku 'kan mencoba Menjadi seperti yang kau minta  Ampuni aku yang telah Memasuki kehidupan kalian Mencoba mencari celah dalam hatimu  Aku tau 'ku takkan bisa Menjadi seperti yang engkau minta Namun selama nafas berhembus aku 'kan mencoba Aku tau dia yang bisa menjadi seperti yang engkau minta Namun selama aku bernyawa aku 'kan mencoba Menjadi seperti yang kau minta   Aku tau 'ku takkan bisa Menjadi seperti yang engkau minta Namun selama nafas berhembus aku 'kan mencoba Aku tau dia yang bisa menjadi seperti yang engkau minta Namun selama aku bernyawa aku 'kan mencoba Menjadi seperti yang kau minta  Seperti yang kau minta Aku 'kan mencoba Menjadi seperti yang kau minta,maafkan aku tak bisa memahami maksud amarahmu membaca dan mengerti isi hatimu ampuni aku yang telah memasuki kehidupan kalian mencoba mencari celah dalam hatimu aku tau ku takkan bisa menjadi seperti yang engkau minta namun selama nafas berhembus aku kan mencoba menjadi seperti yang kau minta ampuni aku yang telah memasuki kehidupan kalian mencoba mencari celah dalam hatimu aku tau ku takkan bisa menjadi seperti yang engkau minta namun selama nafas berhembus aku kan mencoba aku tau dia yang bisa menjadi seperti yang engkau minta namun selama aku bernyawa aku kan mencoba menjadi seperti yang kau minta aku tau ku takkan bisa menjadi seperti yang engkau minta namun selama nafas berhembus aku kan mencoba aku tau dia yang bisa menjadi seperti yang engkau minta namun selama aku bernyawa aku kan mencoba menjadi seperti yang kau minta seperti yang kau minta aku kan mencoba menjadi seperti yang kau minta,Indonesia,148,0.0,neutral
Rumah Ke Rumah,Hindia,https://youtu.be/7U20i3bMX10?si=4HjrRTeG_2bCKEmx,"Menyesal, tak kusampaikan Cinta monyetku ke Kanya dan Rebecca Apa kabar kalian di sana? Semoga hidup baik-baik saja Tak?belajar,?terkena getahnya Saat bersama?Thanya dan Saphira Kupercaya mungkin bukan jalannya Namun?kalian banyak salah juga Jika dahulu ku tak cepat berubah Ini maafku untukmu, Sharfina Segala doa yang baik adanya Untukmu dan mimpimu yang mulia  Pindah berkala, rumah ke rumah Berharap bisa berujung indah Walau akhirnya harus berpisah T'rima kasih kar'na ku tak mudah Pindah berkala, rumah ke rumah Berharap bisa berujung indah Walau akhirnya harus berpisah T'rima kasih kar'na ku tak mudah  Maaf jika ku sering buat susah Indisya, Panda, Anggra, Caca, Sismita P'rempuan terkuat dalam hidupku Terjanglah apa pun yang kalian tuju Kau datang saat gelapku merekah Seluruh hatiku untukmu, Meidiana Kau pantas dapatkan yang baik di dunia S'moga kita bertahan lama  Pindah berkala, rumah ke rumah Mengambil pelajaran jika berpisah Jikalau suatu saat berujung indah Catat nama kita dalam sejarah Pindah berkala, rumah ke rumah Mengambil pelajaran jika berpisah Jikalau suatu saat berujung indah Catat nama kita dalam sejarah  Letih mengembara, rumah ke rumah Kadang ku lupa akanmu, Amalia Siap sedia tiap ku bercerita Ku beruntung jadi anakmu, Bunda  Pindah berkala, rumah ke rumah Selalu pada diri-Mu aku berserah Jika ku disebut dalam sejarah M'reka takkan lupa kar'na siapa Pindah berkala, rumah ke rumah Selalu pada diri-Mu aku berserah Jika aku disebut dalam sejarah M'reka takkan lupa kar'na siapa",menyesal tak kusampaikan cinta monyetku ke kanya dan rebecca apa kabar kalian di sana semoga hidup baik baik saja tak belajar terkena getahnya saat bersama thanya dan saphira kupercaya mungkin bukan jalannya namun kalian banyak salah juga jika dahulu ku tak cepat berubah ini maafku untukmu sharfina segala doa yang baik adanya untukmu dan mimpimu yang mulia pindah berkala rumah ke rumah berharap bisa berujung indah walau akhirnya harus berpisah t rima kasih kar na ku tak mudah pindah berkala rumah ke rumah berharap bisa berujung indah walau akhirnya harus berpisah t rima kasih kar na ku tak mudah maaf jika ku sering buat susah indisya panda anggra caca sismita p rempuan terkuat dalam hidupku terjanglah apa pun yang kalian tuju kau datang saat gelapku merekah seluruh hatiku untukmu meidiana kau pantas dapatkan yang baik di dunia s moga kita bertahan lama pindah berkala rumah ke rumah mengambil pelajaran jika berpisah jikalau suatu saat berujung indah catat nama kita dalam sejarah pindah berkala rumah ke rumah mengambil pelajaran jika berpisah jikalau suatu saat berujung indah catat nama kita dalam sejarah letih mengembara rumah ke rumah kadang ku lupa akanmu amalia siap sedia tiap ku bercerita ku beruntung jadi anakmu bunda pindah berkala rumah ke rumah selalu pada diri mu aku berserah jika ku disebut dalam sejarah m reka takkan lupa kar na siapa pindah berkala rumah ke rumah selalu pada diri mu aku berserah jika aku disebut dalam sejarah m reka takkan lupa kar na siapa,Indonesia,246,0.0,neutral
To the Bone,Pamungkas,https://youtu.be/oIYWenB637c?si=eF3sKI3HYDtpr_id,"Have I ever told you I want you to the bone Have I ever called you When you are all alone And if I ever forget To tell you how I feel Listen to me now, babe I want you to the bone  I want you to the bone, oh-oh-oh I want you to the bone, oh-oh-oh  Maybe if you can see What I feel through my bone Every corner in me There's your presence that grown Maybe I nurture it more By saying how I feel But I did mean it before I want you to the bone I want you to  Take me home, Im fallin' Love me long, I'm rollin Losing control, body and soul Mind too for sure, I'm already yours Walk you down, I'm all in Hold you tight, you call and I'll take control your body and soul Mind too for sure, I'm already yours  Would that be alright? Hey, would that be alright?  I want you to the bone, oh-oh-oh So bad I can't breathe, mm-oh-oh I want you to the bone  Of all the ones that begged to stay I'm still longing for you Of all the ones that cried their way I'm still waiting on you Maybe we seek for something that We couldnt ever have Maybe we choose the only love We know we wont accept Or maybe we're taking all the risks For something that is real Cause maybe the greatest love of all Is who the eyes can't see, yeah   Take me home, I'm fallin' Love me long, Im rollin' Losing control, body and soul Mind too for sure, I'm already yours Walk you down, I'm all in Hold you tight, I call and I'll take control your body and soul Mind too for sure, I'm already yours, oh-oh  Oh yeah (Would you just take me home?) (Would you just love me long?) (Or should I keep hoping on?) (Should I keep hoping on?) (Could I just take you home?) (Could I just love you long?) (Or should I keep hoping on?) (Should I keep hoping on?)  See, I want you to the bone, yeah I want you to the bone, oh-oh-oh I want you to the bone, yeah  I want you to the bone, bone, bone, oh I want you to the bone Eh",have i ever told you i want you to the bone have i ever called you when you are all alone and if i ever forget to tell you how i feel listen to me now babe i want you to the bone i want you to the bone oh oh oh i want you to the bone oh oh oh maybe if you can see what i feel through my bone every corner in me there s your presence that grown maybe i nurture it more by saying how i feel but i did mean it before i want you to the bone i want you to take me home i m fallin love me long i m rollin losing control body and soul mind too for sure i m already yours walk you down i m all in hold you tight you call and i ll take control your body and soul mind too for sure i m already yours would that be alright hey would that be alright i want you to the bone oh oh oh so bad i can t breathe mm oh oh i want you to the bone of all the ones that begged to stay i m still longing for you of all the ones that cried their way i m still waiting on you maybe we seek for something that we couldn t ever have maybe we choose the only love we know we won t accept or maybe we re taking all the risks for something that is real cause maybe the greatest love of all is who the eyes can t see yeah take me home i m fallin love me long i m rollin losing control body and soul mind too for sure i m already yours walk you down i m all in hold you tight i call and i ll take control your body and soul mind too for sure i m already yours oh oh oh yeah would you just take me home would you just love me long or should i keep hoping on should i keep hoping on could i just take you home could i just love you long or should i keep hoping on should i keep hoping on see i want you to the bone yeah i want you to the bone oh oh oh i want you to the bone yeah i want you to the bone bone bone oh i want you to the bone eh,English,418,0.20080191798941804,positive
Photograph,Ed Sheeran,https://youtu.be/nSDgHBxUbVQ?si=JC0khh10muq1ZfA9,"Lovin' can hurt Lovin' can hurt sometimes But it's the only thing that I know And when it gets hard You know it can get hard sometimes It is the only thing that makes us feel alive  We keep this love in a photograph We made these memories for ourselves Where our eyes are never closin' Hearts are never broken And time's forever frozen still  So you can keep me Inside the pocket of your ripped jeans Holdin' me closer 'til our eyes meet You won't ever be alone Wait for me to come home  Lovin' can heal Lovin' can mend your soul And it's the only thing that I know, know I swear it will get easier Remember that with every piece of ya Mm, and it's the only thing we take with us when we die  Mm, we keep this love in this photograph We made these memories for ourselves Where our eyes are never closin' Hearts were never broken And time's forever frozen still  So you can keep me Inside the pocket of your ripped jeans Holdin' me closer 'til our eyes meet You won't ever be alone And if you hurt me Well, that's okay, baby, only words bleed Inside these pages, you just hold me And I won't ever let you go Wait for me to come home  Wait for me to come home Wait for me to come home Wait for me to come home  Oh, you can fit me Inside that necklace you got when you were sixteen Next to your heartbeat, where I should be Keep it deep within your soul And if you hurt me Well, that's okay, baby, only words bleed Inside these pages, you just hold me And I won't ever let you go  When I'm away, I will remember how you kissed me Under the lamppost back on Sixth Street Hearin' you whisper through the phone Wait for me to come home",lovin can hurt lovin can hurt sometimes but it s the only thing that i know and when it gets hard you know it can get hard sometimes it is the only thing that makes us feel alive we keep this love in a photograph we made these memories for ourselves where our eyes are never closin hearts are never broken and time s forever frozen still so you can keep me inside the pocket of your ripped jeans holdin me closer til our eyes meet you won t ever be alone wait for me to come home lovin can heal lovin can mend your soul and it s the only thing that i know know i swear it will get easier remember that with every piece of ya mm and it s the only thing we take with us when we die mm we keep this love in this photograph we made these memories for ourselves where our eyes are never closin hearts were never broken and time s forever frozen still so you can keep me inside the pocket of your ripped jeans holdin me closer til our eyes meet you won t ever be alone and if you hurt me well that s okay baby only words bleed inside these pages you just hold me and i won t ever let you go wait for me to come home wait for me to come home wait for me to come home wait for me to come home oh you can fit me inside that necklace you got when you were sixteen next to your heartbeat where i should be keep it deep within your soul and if you hurt me well that s okay baby only words bleed inside these pages you just hold me and i won t ever let you go when i m away i will remember how you kissed me under the lamppost back on sixth street hearin you whisper through the phone wait for me to come home,English,336,0.1219298245614035,positive
